slide_id,label
01c251e9-cf0f-415a-b4cc-bc1b44f59d16/TCGA-D9-A4Z6-06Z-00-DX1.9AE8803C-4560-4E79-97A8-0CD6DA1890DC,1
032e5196-5de8-4211-8d12-7e4721fe514e/TCGA-ER-A42H-01Z-00-DX1.093FF55F-A71B-48E4-8897-C8002D4BF5D2,0
0495a87c-1ce4-49e1-ac81-228c8e864124/TCGA-EE-A2MS-06Z-00-DX1.76FF55CE-10D0-4A93-AB1D-81AFB910410B,0
05faf4ad-49b3-42a4-8829-b3226c28164e/TCGA-WE-AAA3-06Z-00-DX1.4D21C5FD-48C6-4F90-9137-43AB726DB6BB,0
06957930-3e02-4c3c-ab80-2768bc393ed6/TCGA-EB-A24D-01Z-00-DX1.32127705-0E27-489D-8639-DD58EE59A61D,1
073a5210-c0a7-4835-9cdf-7df3e83b2d4a/TCGA-ER-A19K-01Z-00-DX1.C7AAFCAE-F735-43A7-958A-EF162BAECB77,1
09b5761f-5852-407b-98a5-58519f68018a/TCGA-D3-A51F-06Z-00-DX1.ACABF227-3D3C-4490-A075-7D711BB34675,0
09d1bbf4-f52c-4804-ac22-a640dbfb3338/TCGA-GN-A8LN-01Z-00-DX1.68E5D36A-6C6D-4BCD-B005-25B978441EE6,0
0a6ef6d7-4e0b-4b23-90a7-da39e0eaf5af/TCGA-D3-A2JL-06Z-00-DX1.3258F79C-866E-4AC5-BB16-F4DF65E9DFC2,0
0abc867a-2c93-435c-a837-b0169923912b/TCGA-BF-AAOX-01Z-00-DX1.4B8CBB87-A525-4204-81DC-035B2C45C629,0
0b88f84d-c40e-4580-a10d-930e7d5de0ca/TCGA-FS-A1ZP-06Z-00-DX1.2DDC009B-AD68-4894-850C-A5E1089795FA,0
0cdf31f8-8519-4c2e-b9d0-6f2e46d109bb/TCGA-EB-A3Y7-01Z-00-DX1.4F5C0668-96CD-4614-9A22-B2A29FB7838C,0
0d50a9c1-a670-4f78-93da-6c9444c19bad/TCGA-ER-A1A1-06Z-00-DX1.CD88FBDD-AD5B-4063-8223-DDBA8A1F721B,0
0e24042d-2f15-4635-a7bf-8f138055ab3d/TCGA-D3-A5GO-06Z-00-DX1.DF1F3837-B866-40F4-B2E7-244F94DD0065,0
0edda451-a450-4957-a672-f2587ecf7423/TCGA-FW-A5DX-01Z-00-DX1.B6197945-5BEA-41F2-8164-415F046A5DFD,1
0fac5731-1532-48a2-8dc6-44b8c07fe1e0/TCGA-D3-A51K-06Z-00-DX1.CBDB017A-31B3-430E-B69B-5789F79504B2,0
0fe01971-7fe1-4b48-94e8-22e8fc91beee/TCGA-EB-A5SF-01Z-00-DX1.8083AB94-89EF-4741-8EE7-86EAC50B86B1,0
